,GiaTien,Hang,DongXe,NamSanXuat,SoKmDaDi,TinhTrang,HopSo,NhienLieu,XuatXu,KieuDang,SoCho,DiaDiem
17,125000000,daewoo,lacetti,2008,150000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Vĩnh Phúc
18,538000000,honda,jazz,2019,20000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hồ Chí Minh
19,635000000,toyota,innova,2018,86000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Cần Thơ
20,590000000,toyota,fortuner,2014,1100,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
21,539000000,hyundai,elantra,2017,32000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
22,605000000,mitsubishi,xpander,2019,19000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),7,Hồ Chí Minh
23,316000000,kia,morning,2016,5800,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
24,625000000,mazda,cx 5,2015,50000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hà Nội
25,53000000,toyota,corona,1989,180000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Bắc Giang
26,230000000,hyundai,grand i10,2016,11000,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Đà Nẵng
27,810000000,landrover,range rover vogue,2009,86000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hồ Chí Minh
28,419000000,hyundai,elantra,2016,76000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Thanh Hóa
29,260000000,chevrolet,captiva,2008,90000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hồ Chí Minh
30,486000000,mazda,2,2019,15000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Long An
31,255000000,hyundai,grand i10,2015,70,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
32,418000000,mazda,3,2014,53000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
33,350000000,chevrolet,cruze,2014,72000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
34,1130000000,toyota,fortuner,2020,2700,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hà Nội
35,550000000,hyundai,elantra,2017,48000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
36,455000000,kia,k3,2015,61000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Đắk Lắk
37,565000000,ford,ranger,2014,10000,Cũ,Tự động,Dầu,Trong nước,Pick-up (bán tải),5,Hà Nội
38,280000000,kia,morning,2011,50000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
39,228000000,chevrolet,spark,2015,9,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
40,175000000,daewoo,lacetti,2010,85000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
41,328000000,hyundai,sonata,2009,100000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
42,123456000,kia,sorento,2018,31000,Cũ,Tự động,Dầu,Trong nước,SUV / Cross over,7,Ninh Bình
43,515000000,ford,ranger,2017,53000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Lâm Đồng
44,488000000,honda,city,2017,53700,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
45,409000000,toyota,vios,2018,41,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Đồng Nai
46,430000000,toyota,corolla altis,2010,12000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
47,915000000,hyundai,santa fe,2017,30000,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Vĩnh Phúc
48,900000000,toyota,highlander,2011,60000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
49,526000000,suzuki,swift,2019,3239,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Bình Dương
50,419000000,hyundai,accent,2015,45000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
51,655000000,toyota,yaris,2019,10000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
52,2080000000,lexus,rx,2014,85000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
53,2080000000,lexus,rx,2014,85000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
54,480000000,mercedes benz,cls class,2007,86000,Cũ,Tự động,Xăng,Nhập khẩu,Kiểu dáng khác,5,Hồ Chí Minh
55,380000000,hyundai,accent,2018,9000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
56,190000000,bmw,3 series,2003,150000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
57,678000000,kia,sorento,2016,36000,Cũ,Bán tự động,Dầu,Trong nước,SUV / Cross over,7,Hồ Chí Minh
58,2190000000,toyota,land cruiser,2014,11000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
59,425000000,toyota,vios,2016,45000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
60,220000000,kia,morning,2012,57000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,2,Hà Nội
61,580000000,mitsubishi,xpander,2019,12000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),5,Hà Nội
62,479000000,chevrolet,captiva,2015,96000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hồ Chí Minh
63,509000000,ford,ranger,2016,80000,Cũ,Tự động,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
64,500000000,kia,k3,2016,45000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
65,720000000,toyota,fortuner,2016,75000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Hà Nội
66,800000000,kia,sorento,2018,30000,Cũ,Tự động,Dầu,Trong nước,SUV / Cross over,7,Hà Nội
67,219000000,toyota,vios,2010,12000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
68,185000000,kia,morning,2012,12345,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Đắk Lắk
69,218000000,kia,morning,2013,7000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,2,Hà Nội
70,198000000,kia,morning,2009,10000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
71,548000000,ford,ranger,2018,51000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hồ Chí Minh
72,55000000,fiat,siena,2001,269857,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Bình Thuận
73,1450000000,bmw,x4,2014,10,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,8,Hà Nội
74,358000000,kia,morning,2019,12000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
75,163000000,hyundai,getz,2009,16,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
76,203000000,kia,morning,2010,7000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
77,910000000,honda,cr v,2018,25000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
78,395000000,ssangyong,rexton,2008,157000,Cũ,Bán tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
79,45000000,chevrolet,trailblazer,2001,180000,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Hà Nội
80,579000000,ford,focus,2017,46000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
81,2650000000,mercedes benz,e class,2019,5000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
82,980000000,mercedes benz,s class,2011,68000,Cũ,Tự động,Động cơ Hybrid,Nhập khẩu,Sedan,4,Hồ Chí Minh
83,605000000,mazda,3,2018,28000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
84,2080000000,mercedes benz,e class,2017,10,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
85,893000000,hyundai,tucson,2019,5200,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,5,Hà Nội
86,1130000000,toyota,fortuner,2020,2700,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
87,403000000,toyota,vios,2018,28000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
88,595000000,mitsubishi,pajero sport,2014,50000,Cũ,Tự động,Dầu,Trong nước,SUV / Cross over,7,Hồ Chí Minh
89,215000000,ford,everest,2005,190,Cũ,Số sàn,Xăng,Trong nước,Kiểu dáng khác,7,Hồ Chí Minh
90,310000000,mazda,2,2013,61000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Bà Rịa - Vũng Tàu
91,880000000,mitsubishi,pajero,2017,61000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
92,450000000,kia,sorento,2013,150000,Cũ,Số sàn,Xăng,Trong nước,SUV / Cross over,7,Hà Nội
93,248000000,kia,morning,2016,38000,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Hồ Chí Minh
94,268000000,bmw,x5,2005,86000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hồ Chí Minh
95,475000000,ford,ranger,2016,6000,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
96,165000000,ford,mondeo,2004,140339,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
97,380000000,honda,civic,2011,76000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
98,379000000,mitsubishi,grandis,2009,86000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,7,Hồ Chí Minh
99,935000000,toyota,fortuner,2019,18000,Cũ,Số sàn,Dầu,Trong nước,SUV / Cross over,7,Hà Nội
100,860000000,mercedes benz,glk class,2013,80000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hồ Chí Minh
101,459000000,toyota,vios,2018,45000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Đồng Nai
102,1090000000,landrover,range rover sport,2010,10,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hà Nội
103,119000000,mitsubishi,jolie,2002,100000,Cũ,Số sàn,Xăng,Nhập khẩu,Kiểu dáng khác,7,Hồ Chí Minh
104,615000000,mazda,cx 5,2015,10,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hà Nội
105,368000000,kia,morning,2019,4500,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
106,640000000,kia,sportage,2014,28000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hồ Chí Minh
107,58000000,daewoo,matiz,2005,5484,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
108,1360000000,bmw,5 series,2014,50000,Cũ,Tự động,Xăng,Nhập khẩu,Coupe (2 cửa),4,Hà Nội
109,595000000,honda,civic,2015,25000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
110,355000000,kia,rio,2016,99000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hà Nội
111,95000000,mitsubishi,jolie,2003,86000,Cũ,Số sàn,Xăng,Nhập khẩu,SUV / Cross over,7,Bình Phước
112,518000000,hyundai,accent,2019,36000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
113,646000000,mercedes benz,e class,2009,103000,Cũ,Tự động,Xăng,Trong nước,Sedan,4,Hồ Chí Minh
114,950000000,ford,everest,2018,50000,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
115,555000000,ford,ranger,2017,45000,Cũ,Tự động,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
116,365000000,suzuki,swift,2015,48000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Đà Nẵng
117,435000000,toyota,innova,2015,80000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Hồ Chí Minh
118,1345000000,bmw,3 series,2018,18000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hà Nội
119,400000000,toyota,innova,2013,200000,Cũ,Tự động,Xăng,Trong nước,Minivan (MPV),8,Hồ Chí Minh
120,2050000000,mercedes benz,s class,2014,36000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
121,968000000,toyota,fortuner,2019,21000,Cũ,Tự động,Dầu,Trong nước,SUV / Cross over,7,Bình Dương
122,580000000,hyundai,kona,2018,12300,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hồ Chí Minh
123,500000000,mazda,3,2015,80000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
124,595000000,toyota,venza,2009,60000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hồ Chí Minh
125,471000000,toyota,innova,2016,45000,Cũ,Số sàn,Xăng,Trong nước,SUV / Cross over,7,Hồ Chí Minh
126,497000000,toyota,innova,2016,70000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Hồ Chí Minh
127,415000000,ford,everest,2013,100000,Cũ,Số sàn,Dầu,Nhập khẩu,SUV / Cross over,7,Hà Nội
128,520000000,mitsubishi,xpander,2019,40,Cũ,Số sàn,Xăng,Nhập khẩu,Mui trần,7,Hà Tĩnh
129,252000000,toyota,innova,2009,92485,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Hà Nội
130,1050000000,ford,everest,2019,23000,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
131,515000000,mercedes benz,c class,2018,115906,Cũ,Tự động,Xăng,Trong nước,Sedan,4,Hà Nội
132,405000000,hyundai,santa fe,2007,100563,Cũ,Bán tự động,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
133,628000000,mazda,cx 5,2015,52000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hà Nội
134,517000000,toyota,vios,2018,45000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
135,798000000,mitsubishi,pajero,2016,78000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,An Giang
136,769000000,mitsubishi,outlander,2019,13000,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
137,798000000,mitsubishi,pajero,2016,78000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,7,An Giang
138,769000000,mitsubishi,outlander,2019,13000,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
139,6000000,toyota,innova,2018,43000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Gia Lai
140,92000000,mazda,626,1996,120000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Bà Rịa - Vũng Tàu
141,295000000,toyota,camry,2004,11000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hà Nội
142,815000000,kia,sedona,2017,45000,Cũ,Tự động,Dầu,Trong nước,Minivan (MPV),7,Hà Nội
143,658000000,toyota,innova,2019,46000,Cũ,Số sàn,Xăng,Nhập khẩu,Minivan (MPV),8,Hồ Chí Minh
144,510000000,honda,odyssey,2008,100,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),8,Hồ Chí Minh
145,850000000,toyota,fortuner,2017,38379,Cũ,Số sàn,Dầu,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
146,655000000,chrysler,300c,2010,76000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
147,69000000,chevrolet,spark,2008,55000,Cũ,Số sàn,Xăng,Trong nước,Hatchback,5,Bắc Ninh
148,300000000,hyundai,grand i10,2014,39,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Đồng Nai
149,528000000,kia,rondo,2017,44500,Cũ,Tự động,Xăng,Trong nước,Minivan (MPV),7,Hồ Chí Minh
150,448000000,toyota,corolla altis,2011,82000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
151,785000000,mazda,6,2018,35000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
152,300000000,kia,forte,2011,120000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
153,610000000,toyota,hiace,2017,110000,Cũ,Số sàn,Dầu,Nhập khẩu,Van,16,Đắk Lắk
154,345000000,ford,fiesta,2014,65000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
155,535000000,toyota,camry,2011,90000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hà Nội
156,7380000000,landrover,range rover vogue,2018,10000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hà Nội
157,630000000,hyundai,kona,2018,30500,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Bình Dương
158,236000000,toyota,vios,2012,85322,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
159,639000000,toyota,innova,2019,48000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,An Giang
160,1840000000,mercedes benz,c class,2019,23,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
161,49000000,toyota,corolla,2000,64978,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
162,96000000,daewoo,matiz,2006,123,Cũ,Số sàn,Xăng,Nhập khẩu,Kiểu dáng khác,5,Hồ Chí Minh
163,63000000,daewoo,matiz,2004,123456,Cũ,Số sàn,Xăng,Nhập khẩu,Hatchback,5,Bình Dương
164,1489000000,mercedes benz,glc,2017,60000,Cũ,Tự động,Xăng,Trong nước,SUV / Cross over,5,Hồ Chí Minh
165,688000000,toyota,camry,2011,100000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hà Nội
166,465000000,honda,city,2017,69000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
167,135000000,mitsubishi,jolie,2005,999999,Cũ,Số sàn,Xăng,Trong nước,SUV / Cross over,8,Nam Định
168,300000000,chevrolet,cruze,2012,112000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Bà Rịa - Vũng Tàu
169,167000000,ford,ranger,2009,95684,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
170,499000000,bmw,3 series,2011,53000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
171,360000000,chevrolet,cruze,2014,72000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hồ Chí Minh
172,95000000,mitsubishi,lancer,2002,900000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
173,855000000,toyota,tacoma,2010,55000,Cũ,Tự động,Xăng,Nhập khẩu,Pick-up (bán tải),5,Hồ Chí Minh
174,785000000,mazda,6,2018,35000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
175,528000000,kia,rondo,2017,45000,Cũ,Tự động,Xăng,Trong nước,Minivan (MPV),7,Hồ Chí Minh
176,2195000000,audi,q5,2019,22000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hà Nội
177,445000000,toyota,vios,2018,36000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Đắk Lắk
178,540000000,ford,ranger,2016,9000,Cũ,Tự động,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
179,139000000,bmw,3 series,2004,9999,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
180,350000000,toyota,vios,2015,52000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Đắk Lắk
181,129000000,ford,ranger,2005,97548,Cũ,Số sàn,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
182,77000000,mitsubishi,jolie,2001,145892,Cũ,Số sàn,Xăng,Nhập khẩu,Minivan (MPV),5,Hà Nội
183,650000000,mercedes benz,s class,2007,83000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,4,Hồ Chí Minh
184,950000000,toyota,innova,2019,22000,Cũ,Tự động,Xăng,Trong nước,Minivan (MPV),7,Hồ Chí Minh
185,207000000,isuzu,hi lander,2009,79468,Cũ,Số sàn,Dầu,Trong nước,Sedan,8,Hà Nội
186,658000000,toyota,innova,2019,48000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,An Giang
187,179000000,kia,morning,2010,16000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hà Nội
188,530000000,toyota,innova,2016,90000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Bà Rịa - Vũng Tàu
189,530000000,toyota,innova,2016,90000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Bà Rịa - Vũng Tàu
190,440000000,ford,focus,2015,55000,Cũ,Tự động,Xăng,Trong nước,Hatchback,5,Hồ Chí Minh
191,422000000,honda,cr v,2010,110000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hà Nội
192,285000000,mitsubishi,grandis,2005,131000,Cũ,Tự động,Xăng,Nhập khẩu,Minivan (MPV),5,Hồ Chí Minh
193,425000000,toyota,innova,2016,82000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),8,Hà Nội
194,425000000,toyota,innova,2014,60000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),7,Hà Nội
195,325000000,mitsubishi,triton,2011,140000,Cũ,Tự động,Dầu,Nhập khẩu,Kiểu dáng khác,5,Hà Nội
196,525000000,toyota,land cruiser,2005,55000,Cũ,Số sàn,Xăng,Trong nước,SUV / Cross over,8,Hồ Chí Minh
197,75000000,daewoo,nubira,2007,88834,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hà Nội
198,83000000,daewoo,nubira,2003,127649,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hà Nội
199,715000000,honda,hr-v,2018,46000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,An Giang
200,125000000,toyota,vios,2007,86570,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
201,307000000,hyundai,santa fe,2008,120000,Cũ,Số sàn,Xăng,Nhập khẩu,SUV / Cross over,7,Hà Nội
202,505000000,kia,cerato,2016,60000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
203,399000000,hyundai,accent,2015,69,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hồ Chí Minh
204,450000000,toyota,vios,2018,7700,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Bình Dương
205,60000000,mercedes benz,mb,2003,50000,Cũ,Số sàn,Dầu,Trong nước,Minivan (MPV),16,Đà Nẵng
206,325000000,nissan,sunny,2015,125000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Đà Nẵng
207,48000000,daihatsu,citivan,2001,432658,Cũ,Số sàn,Xăng,Trong nước,Kiểu dáng khác,7,Đắk Lắk
208,270000000,nissan,livina,2011,90000,Cũ,Số sàn,Xăng,Nhập khẩu,Minivan (MPV),7,Hồ Chí Minh
209,328000000,toyota,vios,2016,60000,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hải Dương
210,380000000,toyota,innova,2013,120000,Cũ,Số sàn,Xăng,Trong nước,Minivan (MPV),7,Bình Dương
211,181000000,isuzu,hi lander,2010,12300,Cũ,Số sàn,Dầu,Nhập khẩu,SUV / Cross over,7,Hà Nội
212,180000000,chevrolet,spark,2017,35000,Cũ,Số sàn,Xăng,Trong nước,Hatchback,2,Hà Nội
213,699000000,mazda,6,2018,56000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hồ Chí Minh
214,275000000,mercedes benz,e class,2004,120000,Cũ,Tự động,Xăng,Trong nước,Sedan,5,Hà Nội
215,193000000,toyota,vios,2010,58000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hà Nội
216,468000000,isuzu,dmax,2015,9000,Cũ,Tự động,Dầu,Nhập khẩu,Pick-up (bán tải),5,Hà Nội
217,395000000,kia,rio,2015,68000,Cũ,Tự động,Xăng,Nhập khẩu,Sedan,5,Hà Nội
218,88000000,daewoo,nubira,2005,98848,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
219,115000000,daewoo,lacetti,2006,88888,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
220,89900000,mitsubishi,lancer,2004,123456,Cũ,Số sàn,Xăng,Trong nước,Sedan,5,Hà Nội
221,230000000,kia,morning,2013,10000,Cũ,Tự động,Xăng,Trong nước,Hatchback,2,Hà Nội
222,745000000,kia,sorento,2019,10000,Cũ,Tự động,Xăng,Nhập khẩu,SUV / Cross over,5,Hồ Chí Minh
223,179000000,chevrolet,vivant,2009,130000,Cũ,Số sàn,Xăng,Nhập khẩu,SUV / Cross over,7,Hồ Chí Minh
224,135000000,mazda,626,2005,91000,Cũ,Số sàn,Xăng,Nhập khẩu,Sedan,5,Hà Nội
225,448000000,kia,rio,2016,36000,Cũ,Tự động,Xăng,Nhập khẩu,Hatchback,5,Hà Nội
226,556000000,hyundai,santa fe,2010,58000,Cũ,Tự động,Dầu,Nhập khẩu,SUV / Cross over,5,Hồ Chí Minh
